关注房源人数,总价,平米价,精简装,面积,建造时间,室,厅,小区名称,所在大区域,所在小区域,建筑类型,建筑结构,梯户比例,梯,户,产权年限,户型结构,海景,地铁,公交,轻轨,购物,银行,饭店,学区,采光,休闲,经度,纬度
11,66.0,12000.0,精,55.0,2015.0,2.0,1.0,泽林苑$,开发区,安盛$,塔楼$,钢混,0.25,1.0,4.0,50.0,平层,0,0,0,0,0,0,0,0,0,0,121.7727047656151,39.06156960274094
5,160.0,19079.4,精,83.86,2015.0,2.0,2.0,御园$,沙河口,阳光月秀$,板楼$,钢混,0.375,3.0,8.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.56753473357821,38.93351373893399
63,113.0,13552.4,简,83.38,2011.0,2.0,2.0,大连天地悦翠台$,高新园区,黄泥川$,板楼$,钢混,0.2857142857142857,2.0,7.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.4500946576295,38.86526709874685
60,48.5,9238.1,简,52.5,2007.0,1.0,1.0,绿洲半岛北岸$,开发区,海富$,板楼$,钢混,0.25,1.0,4.0,50.0,平层,0,0,1,0,1,1,0,0,0,0,121.80916704285836,39.027172071236684
123,153.0,18985.0,精,80.59,2006.0,2.0,1.0,鼎新鼎润府$,甘井子,锦绣$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1,121.56573489853979,38.95403197987777
9,61.0,9531.3,精,64.0,2003.0,2.0,1.0,湾里南小区$,开发区,金湾新城$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,0,1,0,1,1,0,0,0,0,121.85916984376554,39.06967041099975
18,93.0,18368.6,精,50.63,2010.0,1.0,1.0,中海华庭$,高新园区,中海$,板塔结合$,钢混,0.2727272727272727,3.0,11.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.52944170844438,38.87173022753774
58,160.8,20657.8,精,77.84,2009.0,2.0,2.0,恒德橄榄季$,甘井子,第五郡$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,1,0,0,1,0,0,0,1,1,121.54151193775128,38.96015528467381
26,89.0,15023.6,精,59.24,2012.0,2.0,1.0,新星绿城六期$,甘井子,机场乐购$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,1,0,121.51698234397018,38.968292642721615
8,125.0,9380.9,精,133.25,2006.0,3.0,2.0,恒达花园$,金州,金华$,板楼$,钢混,0.5,1.0,2.0,70.0,跃层,0,0,0,0,0,0,0,0,0,0,121.71598901476749,39.11770952321311
9,54.0,13456.3,精,40.13,2007.0,1.0,1.0,锦泉源D3区$,甘井子,泉水锦泉源$,板楼$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,1,1,1,0,0,0,0,0,0,121.61768702509855,39.01348308242818
44,115.0,10087.7,精,114.0,2017.0,3.0,2.0,鲁能优山美地$,金州,金石滩$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,跃层,0,0,1,0,1,1,0,0,1,0,0,0
91,74.0,13099.7,简,56.49,1997.0,2.0,1.0,民权小区$,沙河口,西安路$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.59971470940452,38.92137452081653
3,100.0,20136.9,精,49.66,2003.0,1.0,1.0,兰亭山水$,沙河口,星海人家商圈$,板楼$,钢混,0.1111111111111111,1.0,9.0,70.0,暂无数据,0,1,0,0,0,0,0,0,0,0,121.58364923130804,38.90318467673997
13,48.0,10282.8,精,46.68,1995.0,2.0,1.0,泡崖三区$,甘井子,泡崖市场$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.55563908725225,38.97687547607941
7,52.8,8025.5,精,65.79,1992.0,2.0,2.0,桃园小区$,金州,桃园$,板楼$,钢混,0.3333333333333333,1.0,3.0,0.0,平层,0,1,0,0,0,0,0,0,0,0,121.76407008327345,39.081313425289004
211,119.0,13632.7,精,87.29,2005.0,2.0,1.0,山海一家一期$,高新园区,华录$,塔楼$,钢混,0.25,2.0,8.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,0,0
39,82.0,11761.3,简,69.72,2002.0,2.0,1.0,锦华南园$,沙河口,锦华$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,1,0,0,0,1,1,121.55104786755346,38.94487492325151
15,78.8,9194.9,精,85.7,2009.0,2.0,1.0,盛滨花园C区$,金州,站前$,板楼$,钢混,0.16666666666666666,1.0,6.0,70.0,平层,0,1,1,0,1,1,0,0,0,0,121.73233712852317,39.09779431399705
67,72.0,13698.6,精,52.56,2012.0,1.0,1.0,翡翠春城$,甘井子,叠翠$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.52920887304602,38.91464022213683
18,44.0,6162.5,简,71.4,1997.0,2.0,1.0,古城甲区$,金州,古城汇金$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,0,0,0,0,1,121.72508981975352,39.11499770792852
23,148.0,17857.1,精,82.88,2004.0,2.0,2.0,亲亲家园$,甘井子,西山水库$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,1,1,0,0,0,121.54987077203016,38.92858041390463
7,194.0,14544.9,精,133.38,2014.0,3.0,1.0,华润海中国四期$,开发区,华润海中国$,板楼$,钢混,0.6666666666666666,2.0,3.0,50.0,平层,0,0,0,0,0,0,0,0,0,0,121.75727920982158,39.04282909035126
40,135.0,12359.2,精,109.23,2012.0,2.0,2.0,大连海湾城一期$,开发区,华润海中国$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,0,1,1,0,0,0,1,121.75396598960911,39.04239207976784
20,60.0,12911.6,简,46.47,1990.0,2.0,1.0,星海公园$,沙河口,孙家沟$,板楼$,砖混,0.25,1.0,4.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.5741110395726,38.88415578390394
30,73.0,8417.9,精,86.72,2009.0,3.0,1.0,悦泰山里$,金州,古城汇金$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,1,0,121.72524270775808,39.13082439730612
35,185.0,20661.2,精,89.54,2014.0,2.0,2.0,悦丽海湾$,高新园区,小平岛$,板楼$,钢混,0.25,2.0,8.0,70.0,平层,0,1,0,1,0,0,0,0,1,1,121.51677704343233,38.84536407362258
15,80.0,11129.7,精,71.88,2015.0,2.0,1.0,正源吉祥e家祥福园$,开发区,城润$,板楼$,钢混,0.4,2.0,5.0,50.0,平层,0,0,1,0,1,0,1,0,0,0,121.75617788726632,39.06242472088005
87,98.0,11933.8,简,82.12,1996.0,3.0,1.0,北甸街$,沙河口,辽师$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,121.57596520951812,38.92464508422796
85,210.0,23245.5,简,90.34,1995.0,2.0,2.0,湖畔小区$,中山,三八南$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.66339778516044,38.92222100988539
127,84.0,16769.8,精,50.09,2012.0,1.0,1.0,美辰香醒$,甘井子,华东$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,1,1,1,0,0,0,0,121.60381564473562,38.99047397562602
10,88.8,12445.7,简,71.35,1996.0,2.0,1.0,河沿巷$,西岗,八一路$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,1,1,0,0,0,1,121.65035255481571,38.890964893649404
42,85.0,10775.9,简,78.88,2009.0,2.0,1.0,泉水N1区$,甘井子,泉水龙畔金泉$,塔楼$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.64195088573689,39.02260164012546
30,58.0,9644.2,精,60.14,2007.0,2.0,1.0,生辉第一城$,金州,城润$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,1,0,0,0,0,0,0,121.74764023359774,39.058098214323216
30,292.0,21171.7,精,137.92,2005.0,3.0,1.0,弘基三期$,高新园区,学府$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,1,1,1,1,1,0,0
30,106.0,19568.0,简,54.17,1993.0,2.0,1.0,39中明阳街$,中山,三八南$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,1,1,0,0,1,0,0,0,0,121.66476937640293,38.920629698466094
18,92.5,13641.1,精,67.81,1995.0,2.0,1.0,万达高层$,西岗,北京公园$,塔楼$,钢混,0.25,2.0,8.0,70.0,平层,0,1,1,0,1,1,0,0,0,0,121.62139603871869,38.92388410689923
21,135.0,29063.5,简,46.45,2008.0,1.0,1.0,颐和香榭$,西岗,北京公园$,板楼$,钢混,0.3333333333333333,2.0,6.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.61143458159644,38.92490969251738
28,179.0,15174.6,精,117.96,2004.0,3.0,2.0,亲亲家园$,甘井子,西山水库$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,0,0,0,0,1,0,121.54987077203016,38.92858041390463
13,86.8,10211.8,精,85.0,2006.0,2.0,1.0,永乐金庭$,金州,连大$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.71074943677876,39.10425938962146
108,266.0,18889.4,简,140.82,2005.0,3.0,2.0,弘基三期$,高新园区,学府$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,1,1,1,0,1,0,0
36,118.0,18106.5,简,65.17,2014.0,2.0,1.0,亿合城$,甘井子,华南$,板楼$,钢混,0.6,3.0,5.0,70.0,平层,0,1,1,0,1,0,0,0,1,1,121.5939090201817,38.998306654525926
11,66.0,12000.0,精,55.0,2015.0,2.0,1.0,泽林苑$,开发区,安盛$,塔楼$,钢混,0.25,1.0,4.0,50.0,平层,0,0,0,0,0,0,0,0,0,0,121.7727047656151,39.06156960274094
5,160.0,19079.4,精,83.86,2015.0,2.0,2.0,御园$,沙河口,阳光月秀$,板楼$,钢混,0.375,3.0,8.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.56753473357821,38.93351373893399
63,113.0,13552.4,简,83.38,2011.0,2.0,2.0,大连天地悦翠台$,高新园区,黄泥川$,板楼$,钢混,0.2857142857142857,2.0,7.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.4500946576295,38.86526709874685
60,48.5,9238.1,简,52.5,2007.0,1.0,1.0,绿洲半岛北岸$,开发区,海富$,板楼$,钢混,0.25,1.0,4.0,50.0,平层,0,0,1,0,1,1,0,0,0,0,121.80916704285836,39.027172071236684
123,153.0,18985.0,精,80.59,2006.0,2.0,1.0,鼎新鼎润府$,甘井子,锦绣$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1,121.56573489853979,38.95403197987777
24,198.0,21253.8,精,93.16,2013.0,2.0,2.0,中海紫御观邸二期$,高新园区,中海$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,1,1,1,0,0,1,1,121.52783500459905,38.87082611585169
36,72.73,14353.7,精,50.67,1992.0,2.0,1.0,马栏南街$,沙河口,马栏$,板楼$,砖混,0.16666666666666666,1.0,6.0,70.0,平层,0,1,1,0,1,1,0,0,1,1,121.55886944776447,38.92477222450784
184,158.0,18505.5,精,85.38,2011.0,2.0,1.0,海创半山壹号$,高新园区,七贤岭$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,1,1,1,0,0,0,0,0,1,1,122.40204684869718,39.220922012246454
49,52.0,11555.6,毛,45.0,1992.0,2.0,1.0,侯二小区$,沙河口,侯家沟$,板楼$,砖混,0.125,1.0,8.0,70.0,平层,0,1,1,0,1,1,0,0,0,0,121.59007102695813,38.933812737033655
46,43.5,11865.8,精,36.66,1993.0,1.0,1.0,天水街$,甘井子,山东路$,板楼$,砖混,0.25,1.0,4.0,70.0,平层,0,1,1,0,1,0,0,0,1,1,121.59480587492828,38.99023706576139
12,73.0,6357.2,毛,114.83,2003.0,2.0,2.0,青松南里$,开发区,红梅翠竹$,板楼$,钢混,0.25,2.0,8.0,50.0,跃层,0,0,0,0,1,1,0,0,0,1,121.76474208855765,39.04758773975601
19,155.0,16542.2,精,93.7,2007.0,2.0,1.0,水畔香谷$,甘井子,西山水库$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,0,1,121.53296372000989,38.937515556423314
10,74.0,8824.2,简,83.86,2009.0,2.0,1.0,金华小区三期$,金州,金华$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.71053195431988,39.11274753822256
11,127.0,16657.9,精,76.24,2012.0,2.0,1.0,亿合城$,甘井子,华南$,板楼$,钢混,0.6,3.0,5.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,121.5939090201817,38.998306654525926
37,195.0,29903.4,精,65.21,1995.0,2.0,1.0,九中安民街$,中山,中山友好$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.64753224381964,38.916689838983125
10,66.5,11334.6,简,58.67,1993.0,2.0,1.0,侯一小区$,沙河口,侯家沟$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.58538099455156,38.93671712630814
28,325.0,22974.7,简,141.46,2005.0,3.0,2.0,枫合万嘉$,中山,中南$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,0,0,0,0,1,1,121.68219757407668,38.892550613886065
66,90.0,15400.4,简,58.44,1992.0,2.0,1.0,21中广电中心$,沙河口,中山公园$,板楼$,砖混,0.16666666666666666,1.0,6.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,0,0
54,53.0,14544.5,简,36.44,2011.0,1.0,1.0,观山蝶恋花$,沙河口,马栏$,板楼$,钢混,0.25,2.0,8.0,70.0,平层,0,1,1,0,1,1,0,0,0,1,121.56196594278957,38.935447815009496
58,145.0,16734.0,精,86.65,2002.0,2.0,2.0,锦华北园$,沙河口,锦华$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.54876674198212,38.9502799262837
8,35.0,12644.5,精,27.68,2012.0,1.0,0.0,华润海中国二期$,开发区,华润海中国$,板楼$,钢混,0.4,2.0,5.0,50.0,平层,0,0,1,1,1,1,0,0,1,1,121.75727920982158,39.04282909035126
14,55.0,10956.2,简,50.2,2013.0,2.0,1.0,泉水P2区$,甘井子,泉水龙畔金泉$,板塔结合$,框架,0.25,3.0,12.0,70.0,平层,0,0,1,1,1,1,0,0,0,1,121.63872584678653,39.01467404885782
19,57.0,8243.0,简,69.15,2007.0,2.0,1.0,湾里东$,开发区,金湾新城$,板楼$,钢混,0.5,1.0,2.0,50.0,平层,0,0,1,0,1,1,0,0,1,0,121.86275581378507,39.074533650932494
14,142.0,13178.7,简,107.75,1998.0,3.0,2.0,幸福小区(沙河口)$,沙河口,辽师$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.57331675604408,38.92225413475638
13,138.0,13107.9,精,105.28,2008.0,3.0,2.0,龙畔金泉五期K4区$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,1,1,0,0,0,0,1,121.62763557896044,39.00132439975652
12,88.5,13433.5,简,65.88,1996.0,2.0,1.0,七绣路$,甘井子,山东路$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,0,0,1,0,0,0,0,1,121.58424570886159,38.988871090273406
5,128.0,16014.0,简,79.93,2005.0,2.0,1.0,新新园二期$,高新园区,庙岭$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,1,0,1,121.53293285692749,38.89360478728939
22,96.0,9241.4,精,103.88,1998.0,3.0,1.0,翠南隆达院$,开发区,红梅翠竹$,板楼$,砖混,0.5,1.0,2.0,50.0,平层,0,0,0,0,0,0,0,0,1,0,0,0
10,84.3,15715.9,简,53.64,2003.0,2.0,0.0,大连门广场$,甘井子,周水子$,板楼$,钢混,0.18181818181818185,2.0,11.0,70.0,平层,0,0,1,0,1,1,0,1,0,0,121.57027215882319,38.95467202264679
2,96.0,11365.0,精,84.47,2016.0,2.0,2.0,玉兰花园$,金州,金华$,塔楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,1,0,0,0,1,0,0
15,140.0,20240.0,精,69.17,2014.0,2.0,1.0,亿达普罗旺斯$,高新园区,普罗旺斯$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,1,1,0,0,0,0,0,1,121.49345999680148,38.858402104460424
23,132.0,16751.3,精,78.8,2003.0,2.0,1.0,同福新居$,中山,武昌街$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,0,0
94,135.0,15137.9,精,89.18,2016.0,2.0,2.0,金地檀溪$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,0,0,0,0,1,0,0,0,1,1,121.63947016746091,39.00876346378694
22,138.0,28220.9,简,48.9,1980.0,2.0,1.0,34中高峰街$,西岗,唐山街$,板楼$,砖混,0.25,1.0,4.0,70.0,平层,0,1,1,0,1,0,0,0,0,1,121.63700911668575,38.91779285015945
9,56.8,8340.7,精,68.1,1998.0,2.0,2.0,都悦里$,开发区,金湾新城$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.86916988400775,39.071223228265715
13,126.5,20639.6,精,61.29,2012.0,1.0,1.0,香洲心城$,沙河口,侯家沟$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.59237837676221,38.943627728100104
9,130.0,15476.2,精,84.0,2015.0,2.0,1.0,亿达悦龙居$,高新园区,黄泥川$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,0,0,1,1,0,0,0,0,0,121.44917470295674,38.86912728897313
27,108.2,13552.1,精,79.84,1995.0,2.0,1.0,宏孚小区$,甘井子,华东$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.60214059062066,38.987950352899944
18,62.5,12649.3,简,49.41,1988.0,2.0,1.0,山东路$,甘井子,山东路$,板楼$,砖混,0.16666666666666666,1.0,6.0,70.0,平层,0,1,0,0,0,0,0,0,1,0,121.58424197999543,38.974489820736004
26,209.0,34262.3,精,61.0,2004.0,1.0,1.0,幸福e家三期$,沙河口,幸福e家$,板楼$,钢混,0.19047619047619047,4.0,21.0,70.0,跃层,0,1,0,0,1,1,0,0,1,0,121.58437548616031,38.91270436764537
12,67.8,13721.9,精,49.41,2008.0,1.0,1.0,龙畔金泉五期K4区$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,1,1,0,0,0,0,1,121.62763557896044,39.00132439975652
51,265.0,28381.7,精,93.37,2008.0,2.0,1.0,远洋风景$,西岗,北京公园$,板楼$,钢混,1.0,2.0,2.0,70.0,平层,0,1,0,0,1,0,0,0,1,1,121.6157506826565,38.92252487139321
29,239.2,19614.6,精,121.95,2017.0,3.0,2.0,金地檀溪$,甘井子,泉水龙畔金泉$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,1,1,0,0,0,1,1,121.63947016746091,39.00876346378694
32,185.0,20512.3,毛,90.19,2018.0,2.0,2.0,三鼎春天$,甘井子,第五郡$,板楼$,钢混,0.25,1.0,4.0,70.0,平层,0,0,0,0,1,1,0,0,1,1,121.52773970157088,38.95157664728067
37,130.0,13960.5,精,93.12,2009.0,2.0,1.0,东特金星公馆$,甘井子,周水子$,塔楼$,钢混,0.3076923076923077,4.0,13.0,70.0,平层,0,0,1,0,0,1,0,0,0,1,121.57452692807456,38.952464045256484
18,106.0,13326.6,简,79.54,1994.0,3.0,1.0,八十中红咀街$,甘井子,大纺$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.59872739708969,38.96541241294122
33,153.0,15609.1,精,98.02,2008.0,2.0,2.0,加州洋房$,甘井子,华南$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.58277557350466,38.99849177442112
31,54.0,9825.3,精,54.96,2008.0,2.0,1.0,金润小区A区$,金州,金润$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,1,1,0,1,0,0,0,121.74955521613134,39.10292157156721
10,198.0,20425.0,精,96.94,2003.0,2.0,1.0,青林美地$,甘井子,金三角$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,1,121.60669172074114,38.97810224721435
26,280.0,22764.2,精,123.0,2015.0,3.0,1.0,招商兰溪谷$,高新园区,华录$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,1,0,0,0
25,103.0,11305.0,精,91.11,2016.0,3.0,2.0,万科城$,金州,金纺$,板楼$,钢混,0.4,2.0,5.0,70.0,平层,0,1,1,1,1,1,0,0,0,0,121.74082297152319,39.0945330314386
20,239.0,20576.8,精,116.15,2013.0,3.0,2.0,华润置地广场一期$,甘井子,华南$,板楼$,钢混,0.5,2.0,4.0,70.0,平层,0,1,1,0,1,0,0,0,1,1,121.59179623975784,38.99718452175572
11,74.0,8355.9,简,88.56,2007.0,2.0,2.0,湾里东$,开发区,金湾新城$,板楼$,钢混,0.5,1.0,2.0,50.0,平层,0,0,0,0,0,0,0,0,0,0,121.86275581378507,39.074533650932494
8,159.0,11466.1,精,138.67,2005.0,2.0,1.0,佳和园$,开发区,红梅翠竹$,板楼$,钢混,0.5,1.0,2.0,50.0,平层,0,0,0,0,0,0,0,0,0,0,121.75597350838993,39.04879205819165
12,188.0,19105.7,精,98.4,2009.0,3.0,1.0,华锦铭苑$,甘井子,促进路$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.58314624669707,38.966371425233405
37,129.0,19424.8,精,66.41,1995.0,2.0,1.0,39中顺阳街$,中山,三八南$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,1,1,121.66476937640293,38.920629698466094
16,120.0,13530.3,精,88.69,2009.0,2.0,1.0,泉水家年华$,甘井子,泉水美域盛景$,板楼$,钢混,0.4,2.0,5.0,70.0,平层,0,1,1,1,1,1,0,0,1,1,121.62977789297456,39.01625356593743
10,299.0,17343.4,精,172.4,2003.0,3.0,2.0,澳景园$,中山,华乐$,板楼$,钢混,0.5,1.0,2.0,70.0,错层,0,0,0,0,0,0,0,0,1,0,121.68574658870583,38.92070030373966
2,70.0,12589.9,精,55.6,2009.0,2.0,1.0,悦泰山里$,金州,古城汇金$,板楼$,钢混,0.25,1.0,4.0,70.0,跃层,0,0,1,0,1,1,0,0,0,0,121.72524270775808,39.13082439730612
72,147.0,12802.6,精,114.82,2008.0,3.0,2.0,新星绿城六期$,甘井子,机场乐购$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,0,1,0,0,0,0,1,121.51698234397018,38.968292642721615
0,61.0,7829.5,精,77.91,1998.0,2.0,2.0,高民里$,开发区,高城山$,板楼$,钢混,0.5,1.0,2.0,50.0,平层,0,0,1,0,1,1,1,0,1,0,121.83365970191011,39.06973172617707
13,51.0,8888.1,精,57.38,2016.0,2.0,1.0,海尚明珠$,旅顺口,龙王塘$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,0,0,0,0,0,0,0,0,0,0,121.40599747973822,38.831224317786194
9,38.0,11957.2,毛,31.78,1999.0,1.0,1.0,新石道街$,西岗,石道街$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,1,0,1,1,0,0,1,1,121.63055674451273,38.898826508558706
28,180.0,20519.8,精,87.72,2008.0,2.0,1.0,宅语原$,沙河口,软件园$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,暂无数据,0,0,1,0,0,0,0,0,0,0,121.5660918105901,38.90232463907255
53,90.0,13184.9,简,68.26,2000.0,2.0,2.0,景润一期$,西岗,北京公园$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,1,1,0,1,0,0,0,1,0,121.61730299949303,38.92944109607776
52,265.0,15704.6,毛,168.74,2014.0,3.0,2.0,亿达普罗旺斯二期$,高新园区,普罗旺斯$,板楼$,钢混,0.3333333333333333,1.0,3.0,70.0,平层,0,1,1,0,0,0,0,0,0,1,121.49345999680148,38.858402104460424
23,129.8,17325.1,毛,74.92,2019.0,2.0,2.0,远洋荣域B3区$,甘井子,华南$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.59643841673497,39.001686802686116
6,69.5,19041.1,简,36.5,1970.0,2.0,1.0,76中学桥北$,甘井子,山东路$,板楼$,砖混,0.2,1.0,5.0,70.0,平层,0,0,0,0,0,0,0,1,1,0,0,0
44,111.0,12159.1,精,91.29,1992.0,2.0,2.0,新丽街$,西岗,新起屯$,板楼$,砖混,0.5,1.0,2.0,70.0,平层,0,0,0,0,0,1,0,0,0,1,121.63495261240716,38.89211077832578
3,138.0,15681.8,精,88.0,2010.0,2.0,2.0,华润海中国一期$,开发区,华润海中国$,板楼$,钢混,0.5,2.0,4.0,50.0,平层,1,0,1,0,1,1,0,0,0,1,121.75727920982158,39.04282909035126
12,200.0,15537.6,精,128.72,2007.0,2.0,2.0,小平岛亲海园$,高新园区,小平岛$,板楼$,钢混,0.6666666666666666,2.0,3.0,70.0,平层,1,0,0,0,0,0,0,0,1,0,121.50935743966586,38.842518380748054
15,160.0,18696.0,精,85.58,2009.0,2.0,1.0,龙畔锦城$,西岗,北京公园$,板楼$,钢混,0.4,2.0,5.0,70.0,平层,0,1,1,0,1,0,0,0,0,1,121.61498923399098,38.92763470697088
30,126.0,12406.5,简,101.56,1995.0,2.0,2.0,桃仙小区$,中山,秀月$,板楼$,砖混,0.3333333333333333,1.0,3.0,70.0,平层,0,0,0,0,1,0,0,0,1,0,121.66350725985633,38.883978438306926
7,178.0,17264.8,精,103.1,,3.0,2.0,亿达春田蝶园$,甘井子,生态新城$,板楼$,钢混,10.0,20.0,2.0,70.0,平层,0,0,1,0,1,1,0,0,0,1,121.45909296505853,38.976538006383485
14,379.8,23485.0,精,161.72,2005.0,3.0,1.0,壹品星海一期$,沙河口,星海广场$,板楼$,钢混,1.0,2.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.5849286034052,38.88638015449039
22,249.0,13833.3,简,180.0,2005.0,3.0,1.0,金玉星海$,沙河口,星海广场$,板楼$,钢混,1.0,2.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.58901893783298,38.89025493971267
9,97.0,13090.4,简,74.1,2001.0,2.0,2.0,锦泉源B1区$,甘井子,泉水锦泉源$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.61294900251671,39.01276007861568
17,166.0,18320.3,精,90.61,2013.0,2.0,2.0,枫丹丽城$,甘井子,泉水美域盛景$,板楼$,钢混,0.5,1.0,2.0,70.0,平层,0,0,1,1,0,0,0,0,1,0,121.62052248511873,39.01016428270067
7,298.0,21530.2,精,138.41,2008.0,3.0,2.0,宏都筑景Ⅰ期$,沙河口,孙家沟$,板楼$,钢混,1.0,2.0,2.0,70.0,平层,0,1,0,0,0,0,0,0,0,0,121.56998910006209,38.890307337743096
